Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
AMZN,S&P 500,1266.59B,21.41B,477.75B,13.16,6.41,-,-,1622000,Yes,Yes,1.70,59.13,48.22,1.78,2.65,9.29,19.08,-,0.70,1.00,0.53,0.51,6.39%,2.07,2.54,0.14,54.90%,300.63%,33.25%,67.60%,28.10%,7.30%,-147.80%,Jul 28 AMC,7.89%,9.80%,-0.00%,60.70%,-0.21%,5.40%,16.90%,9.50%,42.10%,4.10%,4.50%,0.00%,-16.81%,10.18B,457.72M,17.83%,0.92,170.43,101.26 - 188.11,-34.99%,20.76%,57.74,0.86,89.09M,"76,558,003",-1.89%,13.85%,-11.50%,-11.95%,-32.63%,-26.65%,1.28,5.05,3.53% 3.90%,120.97,122.28,1.08%
ANET,S&P 500,36.79B,932.70M,3.16B,13.48,10.73,-,-,2993,Yes,Yes,2.20,39.51,27.16,2.12,11.65,8.56,10.75,40.71,3.20,3.70,0.00,0.00,14.45%,2.92,4.25,0.91,31.90%,14.91%,18.60%,33.30%,21.20%,31.40%,50.40%,Aug 01 AMC,15.37%,0.20%,-79.87%,66.70%,-0.10%,16.60%,23.80%,21.00%,63.60%,31.60%,29.50%,0.00%,-2.14%,308.05M,236.82M,1.43%,1.72,144.50,85.18 - 148.57,-22.37%,35.40%,70.80,2.01,1.97M,"3,946,414",8.85%,21.07%,0.13%,-2.22%,22.35%,-19.77%,1.30,3.87,3.73% 3.41%,109.10,115.33,5.71%
ANSS,S&P 500,24.04B,453.20M,1.97B,50.09,7.56,-,-,5100,Yes,Yes,2.70,53.72,32.07,4.67,12.21,5.52,36.56,42.46,2.30,2.30,0.17,0.17,11.74%,5.14,8.62,1.60,3.80%,10.64%,11.50%,11.60%,14.00%,17.00%,-1.70%,Aug 03 AMC,11.47%,0.60%,-1.93%,95.40%,-0.10%,7.50%,10.40%,8.60%,86.80%,27.70%,23.00%,0.00%,-13.15%,87.12M,86.64M,1.95%,3.15,313.80,225.92 - 413.89,-33.22%,22.34%,66.74,0.84,536.07K,"448,394",6.24%,15.10%,2.59%,-13.10%,-23.78%,-31.09%,1.27,8.57,3.18% 2.99%,265.12,276.39,4.25%
AON,S&P 500,62.44B,1.36B,12.34B,5.47,36.34,2.24,0.77%,50000,Yes,Yes,2.90,46.50,19.91,3.27,5.06,53.52,8.06,41.63,1.10,1.10,8.77,8.26,6.54%,6.30,14.71,2.53,-34.30%,11.26%,14.21%,4.20%,5.30%,4.10%,18.10%,Jul 29 BMO,8.72%,0.70%,-1.91%,91.10%,0.33%,4.10%,61.30%,15.30%,-,19.30%,11.10%,32.10%,0.52%,215.30M,195.06M,0.91%,1.80,303.92,246.21 - 341.98,-14.39%,18.91%,68.35,0.93,989.42K,"921,101",4.31%,10.20%,-5.93%,9.37%,11.62%,-2.60%,0.90,6.81,2.56% 2.32%,286.06,292.76,2.34%
AOS,S&P 500,9.51B,509.20M,3.75B,11.52,3.72,1.12,1.84%,13700,Yes,Yes,2.60,19.19,16.58,2.40,2.54,5.29,16.41,30.65,1.20,1.70,0.16,0.16,6.64%,3.18,3.68,0.81,42.40%,5.18%,8.00%,10.30%,5.70%,27.10%,26.10%,Jul 28 BMO,5.85%,0.50%,0.25%,98.20%,0.62%,15.30%,27.70%,24.00%,36.40%,17.50%,13.60%,33.70%,-11.39%,157.02M,129.10M,4.47%,5.28,65.50,51.91 - 86.74,-29.68%,17.49%,63.58,1.11,1.09M,"1,216,337",3.46%,10.53%,-3.02%,-18.38%,-12.12%,-28.96%,1.15,1.65,2.46% 2.79%,60.54,60.99,0.74%
APA,S&P 500,12.38B,2.47B,8.78B,-0.05,0.67,0.50,1.40%,2253,Yes,Yes,2.40,5.08,3.54,0.18,1.41,-,52.89,3.41,1.00,1.20,-,-,5.56%,7.01,10.07,2.47,120.20%,3.24%,28.61%,22.10%,8.30%,42.70%,430.10%,Aug 04 BMO,-10.75%,0.30%,-8.24%,86.10%,-0.36%,18.80%,-268.80%,31.20%,68.60%,49.10%,28.10%,3.40%,2.26%,346.00M,337.08M,2.98%,1.09,53.24,15.55 - 51.95,-31.43%,129.14%,49.82,0.72,9.23M,"6,655,582",7.00%,-8.12%,-10.88%,7.58%,87.08%,32.47%,3.98,2.14,5.96% 5.65%,35.19,35.62,1.22%
APD,S&P 500,54.17B,2.17B,11.39B,62.86,14.42,6.48,2.65%,20625,Yes,Yes,2.50,24.99,21.18,2.06,4.76,3.89,16.94,-,1.80,1.90,0.53,0.48,4.49%,9.77,11.53,2.61,6.60%,12.15%,12.13%,12.60%,6.60%,17.70%,12.10%,Aug 04 BMO,1.91%,0.32%,0.00%,84.20%,0.50%,8.30%,16.40%,8.60%,28.10%,20.00%,19.60%,60.70%,-6.83%,222.00M,221.06M,0.94%,1.83,282.71,216.24 - 316.39,-22.81%,12.94%,60.33,0.69,1.14M,"789,465",4.11%,0.71%,2.51%,-11.64%,-15.15%,-19.73%,0.82,5.27,1.57% 1.99%,237.89,244.23,2.67%
APH,S&P 500,45.89B,1.67B,11.45B,10.74,2.17,0.80,1.04%,90000,Yes,Yes,2.20,28.83,25.63,2.97,4.01,7.14,35.31,55.28,1.70,2.50,0.77,0.76,15.19%,2.66,2.99,0.68,28.20%,6.93%,9.70%,14.00%,11.60%,24.20%,28.80%,Jul 27 BMO,13.89%,0.50%,0.00%,97.10%,-0.06%,11.40%,27.70%,15.30%,31.40%,19.50%,14.70%,24.50%,1.95%,598.30M,593.72M,0.84%,2.22,83.46,61.67 - 88.45,-13.27%,24.39%,77.90,1.19,2.24M,"2,670,934",9.66%,18.53%,9.34%,0.48%,8.39%,-12.29%,1.21,1.81,2.50% 2.33%,74.43,76.71,3.06%
APTV,S&P 500,28.86B,321.00M,15.77B,31.01,17.50,-,-,155000,Yes,Yes,2.10,87.47,18.08,1.77,1.83,3.34,5.92,655.84,2.00,2.60,0.78,0.77,11.27%,1.18,5.73,0.58,-70.30%,48.47%,49.34%,-8.60%,4.90%,3.90%,-73.80%,Aug 04 BMO,7.55%,0.30%,-7.09%,98.30%,-0.06%,1.70%,3.80%,7.60%,14.60%,5.50%,2.00%,115.90%,-20.28%,270.79M,269.75M,1.59%,2.12,138.41,84.14 - 180.81,-42.72%,23.08%,61.53,0.81,2.02M,"1,646,078",3.14%,8.32%,-0.14%,-23.41%,-36.20%,-37.22%,2.01,4.10,3.52% 4.14%,100.29,103.56,3.26%
ARE,S&P 500,26.28B,403.80M,2.25B,107.02,4.81,4.72,2.89%,559,Yes,Yes,1.70,59.35,53.19,-,11.68,1.52,33.90,-,-,-,0.61,0.61,11.01%,2.75,3.07,0.66,-36.50%,98.83%,-8.40%,31.40%,18.10%,28.20%,-,Jul 25 AMC,8.72%,1.00%,-3.02%,-,0.27%,-,-,1.60%,70.30%,-,-,-,-12.62%,158.20M,-,-,5.97,203.18,130.00 - 224.95,-27.45%,25.54%,70.24,1.27,1.17M,"1,490,609",10.13%,12.94%,-12.90%,-13.98%,-17.98%,-26.80%,0.89,4.05,2.86% 2.41%,158.27,163.20,3.11%
ATO,S&P 500,16.56B,724.90M,3.84B,65.65,4.22,2.72,2.27%,4684,Yes,Yes,2.40,22.45,20.24,2.75,4.32,1.83,28.44,-,1.10,1.10,0.89,0.64,6.39%,5.34,5.92,0.85,4.70%,6.76%,8.15%,9.00%,6.80%,-26.10%,-40.00%,Aug 03 AMC,6.86%,0.30%,-0.23%,91.80%,-0.59%,3.60%,8.80%,4.90%,63.20%,23.10%,18.90%,48.80%,11.91%,136.83M,134.37M,4.50%,6.36,122.62,85.80 - 122.96,-2.46%,39.78%,70.82,0.90,950.62K,"853,049",6.49%,8.39%,3.33%,15.71%,19.51%,14.47%,0.47,2.13,1.73% 1.89%,116.49,119.93,2.95%
ATVI,S&P 500,62.37B,2.47B,8.30B,22.86,14.19,0.47,0.59%,9800,Yes,Yes,2.30,25.19,20.64,2.47,7.52,3.48,5.60,29.16,5.50,5.50,0.20,0.20,1.62%,3.16,3.85,0.48,21.90%,33.46%,10.19%,22.00%,5.90%,-22.30%,-36.40%,Aug 01 AMC,2.58%,0.10%,-3.75%,84.80%,0.87%,10.10%,14.40%,13.20%,73.30%,35.50%,29.80%,14.80%,6.22%,780.00M,775.17M,2.29%,3.30,94.22,56.40 - 87.30,-8.92%,40.98%,59.34,0.84,5.37M,"4,525,478",0.03%,3.05%,4.48%,0.93%,-6.26%,19.51%,0.52,1.00,0.98% 1.26%,79.79,79.51,-0.35%
AVB,S&P 500,29.35B,1.12B,2.36B,78.65,2.48,6.36,3.00%,2927,Yes,Yes,2.60,26.46,44.76,-,12.45,2.70,85.43,-,-,-,0.73,0.73,9.29%,8.02,4.74,0.92,22.00%,1.91%,-13.04%,-0.90%,2.30%,11.40%,83.90%,Jul 27 AMC,7.61%,0.30%,0.00%,93.40%,0.19%,-,-,1.90%,63.20%,-,-,-,-7.68%,139.56M,139.37M,1.82%,3.15,225.33,183.35 - 259.05,-18.07%,15.76%,72.47,2.01,805.85K,"1,617,042",8.26%,7.70%,-11.85%,-11.75%,-6.69%,-15.97%,0.92,4.63,2.53% 2.09%,202.09,212.24,5.02%
AVGO,S&P 500,217.65B,8.63B,29.99B,51.38,22.08,16.40,3.07%,20000,Yes,Yes,1.80,26.44,13.36,1.94,7.26,10.39,24.17,27.94,1.90,2.10,1.88,1.87,7.48%,20.18,39.94,9.56,137.10%,8.12%,13.60%,40.00%,15.70%,22.60%,79.60%,May 26 BMO,2.00%,0.10%,-7.67%,83.30%,0.18%,11.60%,37.00%,12.80%,64.40%,37.40%,28.80%,73.30%,-6.08%,408.00M,394.30M,1.26%,2.07,671.52,462.66 - 677.76,-21.27%,15.34%,62.31,0.62,2.40M,"1,476,519",3.08%,7.05%,-4.63%,-4.22%,11.72%,-19.81%,1.10,13.30,2.22% 2.48%,527.79,533.61,1.10%
AVY,S&P 500,15.52B,728.80M,8.71B,23.45,1.79,3.00,1.59%,36000,Yes,Yes,2.00,21.67,17.89,3.12,1.78,8.07,105.50,33.81,0.70,1.10,1.69,1.44,12.34%,8.73,10.57,2.37,33.60%,9.83%,6.95%,20.10%,6.70%,14.50%,-4.40%,Jul 27 BMO,12.64%,0.60%,0.00%,95.40%,-0.69%,9.60%,39.60%,14.70%,27.10%,11.40%,8.40%,30.90%,0.62%,82.40M,81.19M,0.96%,1.45,210.18,151.62 - 229.24,-17.49%,24.75%,71.92,0.93,533.82K,"497,806",7.45%,15.24%,4.31%,-3.14%,-9.93%,-12.67%,0.94,4.81,2.67% 2.36%,184.19,189.14,2.69%
AWK,S&P 500,27.83B,1.29B,3.88B,40.99,0.42,2.62,1.68%,6400,Yes,Yes,2.80,21.97,32.18,2.65,7.17,3.79,371.09,-,0.50,0.50,1.44,1.39,4.45%,7.08,4.83,1.16,78.10%,8.34%,8.30%,21.60%,3.50%,-5.20%,18.80%,Jul 27 AMC,5.68%,0.20%,-0.48%,87.90%,0.12%,5.00%,18.20%,8.60%,-,50.50%,33.20%,34.10%,-3.12%,182.00M,180.26M,1.04%,2.05,161.17,129.45 - 189.65,-18.00%,20.13%,62.59,1.04,915.43K,"955,548",6.55%,7.17%,-0.47%,-0.03%,-8.71%,-17.66%,0.42,3.57,1.95% 2.27%,151.27,155.51,2.80%
AXP,DJIA S&P500,112.45B,7.78B,45.50B,30.90,33.16,2.08,1.37%,64000,Yes,Yes,2.40,15.24,13.50,1.09,2.47,4.92,4.59,8.03,-,-,5.98,1.74,5.85%,9.98,11.27,2.37,166.10%,14.63%,14.00%,12.30%,3.50%,31.20%,-8.40%,Jul 22 BMO,0.94%,0.10%,-40.36%,87.30%,-0.03%,3.90%,32.40%,5.50%,67.90%,22.00%,16.40%,14.10%,-10.25%,752.00M,747.47M,1.11%,2.32,179.69,134.12 - 199.55,-23.76%,13.44%,57.29,1.00,3.58M,"3,579,173",1.31%,7.00%,-14.35%,-13.22%,-10.52%,-7.00%,1.15,5.01,3.61% 2.86%,151.63,152.14,0.34%
AZO,S&P 500,41.35B,2.41B,15.82B,-171.09,13.55,-,-,62000,Yes,Yes,2.20,18.82,16.90,2.07,2.61,-,157.23,15.57,0.10,0.80,-,-,-1.51%,113.17,126.10,38.48,32.30%,9.54%,9.10%,18.50%,6.60%,5.90%,9.60%,May 24 BMO,2.42%,0.10%,-35.49%,97.30%,-0.06%,16.70%,-92.10%,63.10%,52.40%,20.30%,15.20%,0.00%,7.38%,19.80M,19.41M,2.19%,2.21,2230.11,1503.30 - 2267.40,-6.04%,41.72%,49.03,1.07,192.21K,"205,346",-0.39%,0.24%,-2.33%,13.22%,32.44%,1.62%,0.81,56.11,2.51% 2.50%,2132.67,2130.45,-0.10%
BA,DJIA S&P500,96.06B,-4884.00M,61.06B,-26.02,20.34,-,-,142000,Yes,Yes,-,-,29.04,-,1.57,-,7.82,-,0.30,1.30,-,-,8.17%,-8.29,5.48,-0.14,65.80%,574.30%,20.17%,-23.80%,-7.80%,-8.10%,-124.60%,Jul 27 BMO,15.49%,0.10%,0.92%,55.50%,0.30%,-3.40%,31.80%,-5.00%,3.20%,-6.50%,-8.00%,-,-12.65%,591.70M,590.95M,1.74%,0.96,211.20,113.02 - 241.15,-34.03%,40.76%,65.22,0.81,10.68M,"8,703,480",-1.44%,14.70%,3.00%,-18.11%,-31.30%,-20.98%,1.39,6.46,3.99% 4.17%,156.09,159.09,1.92%
BAC,S&P 500,269.50B,26.57B,52.76B,29.43,116.63,0.88,2.64%,208000,Yes,Yes,2.20,10.38,8.81,1.49,5.11,1.13,0.29,-,-,-,2.16,1.13,3.66%,3.21,3.78,0.80,90.70%,18.27%,6.97%,19.10%,-1.40%,13.20%,-6.80%,Jul 18 BMO,-0.51%,0.10%,-0.23%,71.40%,0.09%,1.00%,12.40%,6.10%,-,90.10%,57.90%,21.70%,-19.34%,8.14B,8.03B,0.87%,1.49,42.16,29.67 - 50.11,-33.51%,12.30%,53.63,0.85,47.05M,"40,019,592",-0.98%,3.29%,-8.08%,-27.41%,-12.61%,-25.11%,1.43,0.98,2.35% 2.64%,33.59,33.32,-0.80%
BALL,S&P 500,23.89B,1.11B,14.40B,12.15,1.35,0.80,1.09%,24300,Yes,Yes,-,21.74,16.64,1.80,1.66,6.05,54.68,-,0.60,1.00,2.20,2.12,5.99%,3.38,4.42,0.90,55.20%,15.98%,12.08%,26.20%,8.80%,18.90%,128.30%,Aug 04 BMO,5.54%,0.50%,0.00%,90.70%,-0.78%,5.60%,30.20%,9.80%,19.40%,11.00%,7.80%,21.60%,-13.28%,320.90M,316.57M,2.76%,3.94,83.94,62.90 - 98.09,-25.01%,16.95%,61.72,0.64,2.22M,"1,421,605",2.42%,5.16%,-9.20%,-15.03%,-9.38%,-23.59%,0.56,2.09,2.76% 2.84%,72.36,73.56,1.66%
BAX,S&P 500,29.90B,1.06B,13.54B,18.04,4.56,1.16,1.95%,60000,Yes,Yes,2.00,28.52,12.85,2.03,2.21,3.30,13.03,37.56,1.40,2.10,1.89,1.85,-8.81%,2.09,4.63,0.87,18.60%,12.19%,14.05%,-22.50%,4.70%,25.80%,-76.10%,Jul 28 BMO,-13.37%,0.20%,-6.46%,89.30%,0.32%,4.00%,11.90%,5.50%,39.40%,10.50%,7.80%,53.10%,-23.39%,503.00M,502.50M,1.33%,2.29,84.85,62.70 - 89.70,-33.67%,-5.10%,26.98,3.10,2.91M,"9,040,539",-9.89%,-8.81%,-16.28%,-29.39%,-27.36%,-30.68%,0.68,1.78,2.37% 1.90%,66.80,59.50,-10.93%
BBWI,S&P 500,8.05B,1.14B,7.86B,-11.08,2.86,0.80,2.26%,8800,Yes,Yes,-,8.09,9.29,0.42,1.02,-,12.36,-,0.80,1.40,-,-,21.30%,4.37,3.81,0.46,27.90%,24.75%,19.33%,-0.20%,-8.90%,-1.40%,99.10%,Aug 17 AMC,5.02%,0.40%,-2.40%,-,0.08%,-,-,43.90%,48.10%,-,-,-,-34.05%,240.00M,222.74M,8.36%,3.11,45.68,25.75 - 82.00,-56.85%,37.40%,63.97,0.58,5.99M,"3,477,365",6.28%,22.00%,-32.98%,-33.17%,-43.46%,-49.31%,1.80,1.70,4.21% 5.24%,34.14,35.38,3.63%
BBY,S&P 500,17.88B,2.20B,50.77B,12.20,2.79,3.52,4.51%,105000,Yes,Yes,2.60,8.64,8.00,1.29,0.35,6.39,27.94,68.77,0.20,1.00,0.43,0.42,8.34%,9.02,9.75,1.82,44.00%,14.66%,6.70%,21.30%,5.60%,-8.50%,-35.60%,May 24 BMO,5.21%,0.50%,9.26%,83.00%,-0.51%,12.30%,61.10%,58.00%,22.20%,5.40%,4.30%,30.80%,-19.04%,226.80M,200.83M,5.98%,3.37,89.20,64.29 - 141.97,-45.07%,21.31%,58.30,2.21,3.56M,"7,876,967",-0.27%,13.28%,-16.17%,-19.53%,-31.02%,-23.24%,1.53,2.98,4.54% 3.71%,74.49,77.99,4.70%
BDX,S&P 500,69.23B,1.83B,20.03B,85.97,11.14,3.48,1.43%,75000,Yes,Yes,2.30,38.46,19.89,7.85,3.46,2.84,21.89,74.68,1.00,1.50,0.76,0.72,0.63%,6.34,12.26,2.50,152.40%,9.12%,4.90%,8.80%,10.20%,2.10%,59.00%,Aug 04 BMO,-0.98%,0.10%,-7.36%,88.30%,0.02%,3.40%,7.60%,6.00%,45.80%,12.20%,9.10%,39.60%,-2.34%,285.24M,282.74M,1.24%,3.31,273.18,229.24 - 277.29,-12.04%,6.40%,51.54,0.95,1.06M,"1,002,732",1.17%,-0.25%,-3.57%,-1.46%,-1.30%,-0.52%,0.61,4.86,1.68% 1.86%,244.34,243.91,-0.18%
BEN,S&P 500,13.45B,1.83B,8.66B,23.55,9.91,1.16,4.37%,9500,Yes,Yes,3.10,7.13,9.08,-,1.55,1.13,2.68,45.55,-,-,0.00,0.74,8.80%,3.73,2.92,0.74,124.60%,-15.76%,-0.98%,4.00%,4.90%,0.20%,-8.30%,Jul 28 BMO,6.30%,43.30%,-0.00%,46.10%,0.55%,7.40%,16.20%,8.30%,-,23.40%,21.10%,30.30%,-9.14%,490.00M,283.47M,6.12%,5.38,23.56,22.61 - 38.27,-30.60%,17.47%,65.17,1.37,3.23M,"4,411,676",3.67%,7.62%,3.59%,-16.32%,-9.04%,-20.69%,1.18,0.80,3.40% 3.08%,25.43,26.56,4.44%
BF-B,S&P 500,35.03B,838.00M,3.93B,5.71,1.82,0.75,1.02%,5200,Yes,Yes,3.20,42.21,34.08,4.97,8.91,12.89,40.36,-,1.90,3.70,0.83,0.74,3.75%,1.74,2.16,0.47,-7.20%,9.59%,8.49%,4.90%,5.60%,22.70%,25.90%,Jun 08 BMO,7.67%,0.30%,0.00%,50.20%,-0.06%,13.00%,30.90%,18.50%,60.80%,30.60%,21.30%,42.10%,7.70%,478.98M,353.36M,1.21%,4.06,71.76,60.23 - 74.43,-1.11%,22.21%,68.22,0.71,1.05M,"747,620",3.40%,3.44%,9.39%,10.69%,3.42%,1.03%,0.66,1.27,1.63% 1.70%,72.42,73.61,1.64%
BIIB,S&P 500,32.56B,2.06B,10.63B,81.37,31.57,-,-,9610,Yes,Yes,2.40,15.29,13.50,-,3.06,2.63,6.79,12.55,1.70,1.90,0.61,0.53,0.67%,14.01,15.87,4.17,-58.10%,-3.09%,-6.87%,-9.30%,-0.80%,-6.70%,142.20%,Jul 20 BMO,4.04%,0.20%,0.00%,87.00%,0.18%,8.50%,18.50%,15.30%,77.30%,18.20%,19.40%,0.00%,-4.29%,145.90M,145.00M,1.44%,1.87,234.25,187.16 - 351.86,-39.12%,14.45%,53.66,0.76,1.12M,"850,950",0.07%,5.77%,3.51%,-2.46%,-35.90%,-10.72%,0.39,6.57,3.06% 2.92%,212.92,214.20,0.60%
BIO,S&P 500,16.81B,-101.10M,2.90B,340.19,69.07,-,-,7900,Yes,Yes,1.50,-,35.89,-,5.80,1.65,8.11,36.62,4.20,5.10,0.12,0.12,10.07%,-4.88,15.60,2.80,11.40%,8.48%,17.80%,176.00%,7.20%,-3.70%,-447.70%,Jul 28 AMC,9.86%,0.10%,0.00%,81.10%,2.03%,-0.60%,-0.80%,-5.10%,56.80%,18.40%,-3.50%,-,-8.50%,29.93M,21.46M,1.58%,1.71,690.00,462.61 - 832.70,-32.77%,21.02%,66.62,1.20,197.57K,"236,162",4.76%,13.07%,11.76%,-2.13%,-20.70%,-25.90%,0.94,17.57,2.98% 3.20%,546.69,559.86,2.41%
BK,S&P 500,35.39B,3.24B,3.36B,45.66,245.80,1.48,3.44%,49600,Yes,Yes,2.40,10.95,9.06,1.68,10.54,0.94,0.18,71.21,-,-,0.69,0.69,1.65%,3.93,4.75,1.09,8.30%,13.92%,6.53%,5.70%,-4.50%,5.40%,-11.30%,Jul 15 BMO,-0.48%,0.20%,-2.61%,85.10%,0.01%,0.80%,9.20%,3.00%,-,84.80%,-,31.20%,-17.29%,809.47M,806.69M,0.90%,1.62,48.40,39.78 - 64.63,-33.42%,8.17%,51.73,0.47,4.48M,"2,126,046",-1.03%,0.40%,1.61%,-26.97%,-14.54%,-25.91%,1.13,1.19,2.32% 2.54%,42.88,43.03,0.35%
BKNG,S&P 500,78.54B,520.00M,12.51B,106.86,-,-,-,20300,Yes,Yes,2.20,154.71,14.91,3.02,6.28,17.90,-,17.96,1.70,1.70,2.23,1.93,7.62%,12.37,128.33,17.51,117.00%,29.80%,51.17%,-8.00%,0.40%,136.20%,-,Aug 03 AMC,-2.78%,0.20%,-15.38%,94.00%,0.21%,2.20%,10.00%,11.40%,-,21.90%,4.20%,0.00%,-14.23%,40.92M,40.52M,1.81%,1.66,2576.57,1669.34 - 2715.66,-29.56%,14.59%,55.96,0.72,441.01K,"318,526",4.57%,4.05%,-15.32%,-19.31%,-14.08%,-20.27%,1.24,67.64,2.78% 3.21%,1877.58,1912.93,1.88%
BKR,S&P 500,26.34B,-466.00M,20.46B,14.87,3.69,0.72,2.88%,55000,Yes,Yes,2.00,-,14.84,-,1.29,1.68,6.77,-,1.10,1.50,0.45,0.45,-7.44%,-0.43,1.68,0.26,98.20%,69.66%,56.40%,46.90%,15.80%,-1.80%,-893.40%,Jul 20 BMO,-20.07%,0.10%,-99.15%,92.70%,-0.22%,-1.30%,-2.90%,2.90%,20.30%,3.80%,-2.30%,-,-15.17%,1.00B,938.57M,2.60%,2.39,36.01,19.84 - 39.78,-37.20%,25.91%,35.14,0.65,10.22M,"6,607,314",0.24%,-16.93%,-20.14%,-9.23%,18.95%,3.82%,1.48,1.36,4.55% 4.37%,25.06,24.98,-0.32%
BLK,S&P 500,100.53B,5.84B,19.38B,247.07,47.68,19.52,2.96%,18700,Yes,Yes,1.90,17.40,17.63,2.72,5.19,2.67,13.84,48.90,-,-,0.00,0.20,6.86%,37.94,37.43,8.12,20.00%,11.29%,6.40%,15.00%,9.60%,6.80%,20.40%,Jul 15 BMO,5.68%,0.70%,-3.27%,80.10%,0.09%,3.70%,15.90%,12.10%,81.30%,38.40%,30.40%,42.60%,-13.90%,151.73M,148.77M,1.43%,2.26,696.30,575.60 - 973.16,-32.18%,14.66%,62.01,0.58,940.87K,"548,222",3.23%,4.91%,2.64%,-17.03%,-23.32%,-27.92%,1.26,18.56,2.79% 2.60%,643.32,659.98,2.59%
BMY,S&P 500,159.24B,6.25B,46.96B,14.72,7.02,2.16,2.89%,32200,Yes,Yes,2.20,26.53,9.29,5.93,3.39,5.07,10.64,14.93,1.20,1.30,1.42,1.19,-0.17%,2.82,8.04,1.81,178.00%,7.48%,4.47%,3.30%,19.00%,5.20%,-33.80%,Jul 27 BMO,-1.18%,0.10%,-10.90%,79.20%,0.18%,5.80%,17.70%,9.40%,79.60%,19.00%,13.30%,70.70%,9.63%,2.15B,2.13B,1.28%,2.05,80.83,53.22 - 80.59,-7.31%,40.36%,49.72,0.69,13.35M,"9,227,195",2.27%,-5.08%,-1.46%,20.02%,8.69%,19.81%,0.42,1.52,2.16% 1.81%,74.81,74.70,-0.15%
BR,S&P 500,18.82B,551.40M,5.52B,15.59,2.37,2.56,1.59%,13704,Yes,Yes,2.70,34.52,22.75,2.93,3.41,10.32,67.89,154.64,1.30,1.30,0.00,2.29,7.43%,4.66,7.07,2.63,17.60%,9.34%,11.80%,12.90%,11.50%,10.40%,6.50%,May 03 BMO,11.34%,0.60%,-0.18%,90.50%,-0.05%,6.80%,30.90%,9.30%,27.70%,12.70%,10.00%,52.60%,2.22%,116.80M,116.46M,1.55%,4.00,167.00,132.40 - 185.40,-13.25%,21.48%,71.32,0.93,451.61K,"419,048",3.17%,13.94%,9.55%,7.97%,-5.85%,-12.02%,0.94,3.53,2.01% 2.14%,158.20,160.84,1.67%
BRK-B,S&P 500,714.18B,-,276.09B,316350.56,-,-,-,372000,Yes,Yes,2.80,-,20.34,-,2.59,0.00,-,-,-,-,-,-,4.89%,-,14.45,3.48,9.20%,9.20%,23.30%,-,-,11.50%,10.60%,May 02 BMO,1.36%,0.45%,0.01%,67.76%,-,-,-,-,-,-,-,-,-3.98%,2.43B,1.19B,0.64%,1.75,370.00,263.68 - 362.10,-18.83%,11.46%,61.69,0.91,4.34M,"3,969,364",2.46%,7.32%,-10.83%,-4.97%,5.68%,-1.71%,-,5.64,1.88% 1.72%,290.30,293.90,1.24%
BRO,S&P 500,18.29B,599.60M,3.14B,15.65,6.03,0.41,0.64%,12023,Yes,Yes,2.60,29.86,24.98,2.26,5.82,4.11,10.68,-,1.80,1.80,0.82,0.81,6.99%,2.16,2.58,0.49,22.70%,11.03%,13.22%,17.90%,11.60%,11.00%,12.40%,Jul 25 AMC,10.63%,2.40%,0.30%,75.30%,-0.28%,-,-,10.30%,-,-,-,-,0.38%,277.10M,234.88M,1.76%,2.33,70.44,52.91 - 74.00,-13.00%,21.68%,68.90,0.72,1.77M,"1,272,258",3.24%,11.56%,-0.51%,1.79%,19.00%,-8.39%,0.79,1.42,2.23% 2.02%,63.08,64.38,2.06%
